timestamp,open,high,low,close,volume,amount
2024-11-20 00:00:00,23.74,24.36,23.56,24.15,454873,10982852.72
2024-11-21 00:00:00,24.15,24.37,23.9,24.12,395777,9558785.85
2024-11-22 00:00:00,24.01,24.3,23.31,23.32,624910,14977262.69
2024-11-25 00:00:00,23.32,23.73,23.18,23.72,232583,5472835.9
2024-11-26 00:00:00,23.7,24.0,23.52,23.85,297451,7075156.54
2024-11-27 00:00:00,23.63,24.0,23.02,23.97,487510,11516335.24
2024-11-28 00:00:00,24.03,24.42,23.83,23.87,402013,9678729.98
2024-11-29 00:00:00,24.1,24.55,23.86,24.46,497968,12068053.85
2024-12-02 00:00:00,24.41,24.99,24.4,24.58,431497,10609248.21
2024-12-03 00:00:00,24.55,24.79,24.25,24.38,374728,9159036.84
2024-12-04 00:00:00,24.54,24.58,24.01,24.09,447230,10870981.81
2024-12-05 00:00:00,24.0,24.67,23.87,24.5,528903,12917226.1
2024-12-06 00:00:00,24.53,24.76,24.18,24.64,378961,9308188.07
2024-12-09 00:00:00,24.77,24.79,24.33,24.46,449845,11057218.08
2024-12-10 00:00:00,24.98,25.26,24.53,24.7,884779,21930578.43
2024-12-11 00:00:00,24.7,25.21,24.51,25.2,1146544,28595608.91
2024-12-12 00:00:00,25.27,25.36,24.8,25.15,540541,13588931.51
2024-12-13 00:00:00,24.83,25.29,24.48,24.53,509007,12578357.2
2024-12-16 00:00:00,24.51,24.72,24.06,24.28,299566,7309286.16
2024-12-17 00:00:00,24.28,24.41,22.74,22.87,715484,16641194.77
2024-12-18 00:00:00,22.99,23.18,22.71,22.82,338586,7766002.53
2024-12-19 00:00:00,22.66,23.09,22.6,22.92,291986,6674761.41
2024-12-20 00:00:00,23.07,23.5,22.76,23.3,336763,7832920.79
2024-12-23 00:00:00,23.35,23.35,22.4,22.45,354596,8042462.95
2024-12-24 00:00:00,22.49,22.83,22.21,22.74,422126,9522342.68
2024-12-25 00:00:00,22.55,22.82,22.23,22.58,305803,6871371.65
2024-12-26 00:00:00,22.57,23.09,22.52,22.77,274907,6284244.57
2024-12-27 00:00:00,22.77,23.15,22.59,22.63,276694,6330781.49
2024-12-30 00:00:00,22.53,22.78,22.2,22.34,268902,6052043.81
2024-12-31 00:00:00,22.75,22.75,21.78,21.78,261700,5794665.73
2025-01-02 00:00:00,21.94,22.14,21.34,21.44,236732,5151306.5
2025-01-03 00:00:00,21.54,21.72,20.9,20.99,330696,7045711.17
2025-01-06 00:00:00,21.29,21.29,20.49,20.82,183494,3822979.25
2025-01-07 00:00:00,20.81,21.21,20.7,21.2,181546,3801929.9
2025-01-08 00:00:00,21.49,21.49,20.54,20.94,213413,4474590.93
2025-01-09 00:00:00,20.94,21.14,20.81,20.88,142174,2983842.1
2025-01-10 00:00:00,20.99,21.08,20.41,20.41,112817,2334502.24
2025-01-13 00:00:00,20.18,20.58,19.89,20.4,176113,3574053.38
2025-01-14 00:00:00,20.59,21.45,20.54,21.45,291541,6149857.88
2025-01-15 00:00:00,21.66,21.66,21.11,21.31,239994,5121389.84
2025-01-16 00:00:00,21.34,21.6,21.01,21.21,228139,4873475.29
2025-01-17 00:00:00,21.38,21.58,21.08,21.45,303169,6468087.26
2025-01-20 00:00:00,20.91,21.4,20.37,20.47,1008472,20954813.81
2025-01-21 00:00:00,20.53,20.69,20.15,20.39,395555,8051388.74
2025-01-22 00:00:00,20.35,20.52,20.22,20.43,199355,4065467.64
2025-01-23 00:00:00,20.55,20.81,20.29,20.29,398610,8215960.28
2025-01-24 00:00:00,20.42,20.64,20.23,20.55,359184,7339602.91
2025-01-27 00:00:00,20.64,20.85,20.22,20.25,508622,10454761.89
2025-02-05 00:00:00,20.59,20.63,20.32,20.51,435993,8937800.08
2025-02-06 00:00:00,20.6,21.15,20.31,21.15,563888,11764987.24
2025-02-07 00:00:00,21.39,21.65,21.19,21.48,654929,14033465.8
2025-02-10 00:00:00,21.58,21.95,21.28,21.95,456129,9881519.16
2025-02-11 00:00:00,22.5,24.38,22.0,23.2,2040545,47192177.11
2025-02-12 00:00:00,22.71,23.47,22.6,23.05,1450810,33275085.04
2025-02-13 00:00:00,23.08,24.22,22.83,23.79,1637817,38557961.28
2025-02-14 00:00:00,24.99,25.88,23.6,23.63,2951518,72977600.81
2025-02-17 00:00:00,23.88,24.85,23.61,24.18,2010155,48361766.37
2025-02-18 00:00:00,23.95,23.97,22.8,22.92,1712578,39830173.81
2025-02-19 00:00:00,22.93,23.56,22.93,23.55,1031815,24116480.21
2025-02-20 00:00:00,23.68,23.9,23.22,23.79,1119162,26372207.01
2025-02-21 00:00:00,23.95,24.65,23.54,24.44,1680389,40480814.94
2025-02-24 00:00:00,24.48,24.66,23.86,24.17,949170,22861977.2
2025-02-25 00:00:00,23.8,24.3,23.77,23.82,759028,18231822.84
2025-02-26 00:00:00,23.85,24.03,23.78,24.02,825872,19731847.69
2025-02-27 00:00:00,24.0,24.16,23.32,23.69,830293,19632033.65
2025-02-28 00:00:00,23.67,23.79,22.66,22.74,1040844,24038152.57
2025-03-03 00:00:00,22.8,23.46,22.8,23.06,778339,18026921.84
2025-03-04 00:00:00,23.06,23.81,22.82,23.75,834766,19619061.93
2025-03-05 00:00:00,23.74,23.74,23.46,23.62,656036,15491672.85
2025-03-06 00:00:00,23.86,24.68,23.38,24.26,1343720,32629829.18
2025-03-07 00:00:00,24.16,24.44,23.75,23.94,832051,19965415.82
2025-03-10 00:00:00,23.94,24.33,23.8,24.08,700529,16849469.12
2025-03-11 00:00:00,23.99,24.22,23.7,24.02,562206,13453769.0
